,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
38,Emanuel Cleaver,D,58.5,Missouri,05,True,True,"1,393,847","928,061"
39,Ryan Derks,R,38.7,Missouri,05,False,False,"76,488","76,488"
40,Sam Graves,R,67.1,Missouri,06,True,True,"1,959,516","1,654,756"
41,Gena Ross,D,30.8,Missouri,06,False,False,"10,170","10,530"
42,Billy Long,R,68.7,Missouri,07,True,True,"1,320,420","1,518,234"
43,Audrey Richards,I,0,Missouri,07,False,False,"7,985","8,113"
44,Jason Smith,R,76.9,Missouri,08,True,True,"1,900,227","1,514,786"
45,Kathryn Ellis,D,21.4,Missouri,08,False,False,"302,428","305,387"
46,Steven Daines,R,55.0,Montana,2020,True,True,"32,792,199","33,543,538"
47,Steve Bullock,D,45.0,Montana,2020,False,False,"48,737,896","47,788,546"
48,Susan Good,L,0,Montana,2020,False,False,"2,447","2,447"
49,Kathleen Williams,D,43.6,Montana,01,False,False,"6,201,758","6,232,286"
50,Matt Rosendale,R,56.4,Montana,01,False,True,"3,674,706","3,488,045"
51,Ben Sasse,R,67.4,Nebraska,2020,True,True,"6,364,309","5,018,942"
52,Chris Janicek,D,26.2,Nebraska,2020,False,False,"144,666","126,459"
53,Jeff Fortenberry,R,59.5,Nebraska,01,True,True,"1,472,816","2,458,330"
54,Kate Bolz,D,37.7,Nebraska,01,False,False,"1,143,509","1,140,371"
55,Don Bacon,R,50.6,Nebraska,02,True,True,"3,749,272","3,713,961"
56,Kara Eastman,D,46.3,Nebraska,02,False,False,"4,414,390","4,468,006"
57,Adrian Smith,R,78.5,Nebraska,03,True,True,"1,506,473","1,148,409"
58,Mark Elworth,D,17.7,Nebraska,03,False,False,255,0
59,Dina Titus,D,61.8,Nevada,01,True,True,"706,193","587,919"
60,Mark Amodei,R,56.5,Nevada,02,True,True,"1,048,056","1,016,673"
61,Patricia Ackerman,D,40.7,Nevada,02,False,False,"449,363","449,449"
62,Susie Lee,D,48.8,Nevada,03,True,True,"4,748,019","4,732,009"
63,Dan Rodimer,R,45.8,Nevada,03,False,False,"2,936,059","2,915,216"
64,Steven Horsford,D,50.7,Nevada,04,True,True,"3,492,372","3,024,427"
65,Jim Marchant,R,45.8,Nevada,04,False,False,"1,462,772","1,419,405"
66,Jonathan Royce,L,2.4,Nevada,04,False,False,"2,788","1,603"
67,Jeanne Shaheen,D,56.7,New,Senate,True,True,"19,391,937","18,362,179"
68,Corky Messner,R,41.0,New,Senate,False,False,"4,068,749","4,010,449"
69,Justin O'Donnell,L,2.3,New,Senate,False,False,"6,240","4,853"
70,Chris Pappas,D,51.3,New,District,True,True,"3,205,731","3,105,663"
71,Matt Mowers,R,46.2,New,District,False,False,"1,707,214","1,698,761"
72,Ann Kuster,D,53.9,New,District,True,True,"2,960,033","2,970,274"
73,Steve Negron,R,43.7,New,District,False,False,"368,177","378,959"
74,Cory Booker,D,57.2,New,Senate,True,True,"15,366,762","10,326,636"
75,Rik Mehta,R,40.9,New,Senate,False,False,"586,706","586,153"
76,Veronica Fernandez,I,0.7,New,Senate,False,False,"12,633","12,633"
77,Daniel Burke,I,0.3,New,Senate,False,False,"7,220","7,100"
78,Madelyn Hoffman,3,0.9,New,Senate,False,False,"6,219","5,763"
79,Don Norcross,D,62.5,New,District,True,True,"2,221,989","1,087,264"
